drugs_name,drugs_slug,diseases_name,diseases_slug,createdAt,updatedAt
Magnesium hydroxide,magnesium-hydroxide,Indigestion,indigestion,2022/05/25 14:48:28,2022/05/25 14:48:28
Caverject Impulse,caverject-impulse,Erectile Dysfunction,erectile-dysfunction,2022/05/25 14:48:28,2022/05/25 14:48:28
Insulin lispro,insulin-lispro,"Diabetes, Type 1",diabetes-type-1,2022/05/25 14:48:28,2022/05/25 14:48:28
Procardia,procardia,Raynaud's Syndrome,raynaud-s-syndrome,2022/05/25 14:48:28,2022/05/25 14:48:28
Triamcinolone,triamcinolone,Rheumatoid Arthritis,rheumatoid-arthritis,2022/05/25 14:48:28,2022/05/25 14:48:28
Zenchent,zenchent,Birth Control,birth-control,2022/05/25 14:48:28,2022/05/25 14:48:28
Clinoril,clinoril,Ankylosing Spondylitis,ankylosing-spondylitis,2022/05/25 14:48:28,2022/05/25 14:48:28
Neurontin,neurontin,Trigeminal Neuralgia,trigeminal-neuralgia,2022/05/25 14:48:28,2022/05/25 14:48:28
Fondaparinux,fondaparinux,Pulmonary Embolism,pulmonary-embolism,2022/05/25 14:48:28,2022/05/25 14:48:28
Fluticasone / vilanterol,fluticasone-vilanterol,COPD,copd,2022/05/25 14:48:28,2022/05/25 14:48:28
Premarin,premarin,Atrophic Vaginitis,atrophic-vaginitis,2022/05/25 14:48:28,2022/05/25 14:48:28
Zymar,zymar,Ophthalmic Surgery,ophthalmic-surgery,2022/05/25 14:48:28,2022/05/25 14:48:28
Marinol,marinol,Anorexia,anorexia,2022/05/25 14:48:28,2022/05/25 14:48:28
Acetazolamide,acetazolamide,Glaucoma,glaucoma,2022/05/25 14:48:28,2022/05/25 14:48:28
Ultram ER,ultram-er,Back Pain,back-pain,2022/05/25 14:48:28,2022/05/25 14:48:28
Sumatriptan,sumatriptan,Not Listed / Othe,not-listed-othe,2022/05/25 14:48:28,2022/05/25 14:48:28
Ethinyl estradiol / etonogestrel,ethinyl-estradiol-etonogestrel,Abnormal Uterine Bleeding,abnormal-uterine-bleeding,2022/05/25 14:48:28,2022/05/25 14:48:28
Exelon,exelon,Parkinson's Disease,parkinson-s-disease,2022/05/25 14:48:28,2022/05/25 14:48:28
Danazol,danazol,Endometriosis,endometriosis,2022/05/25 14:48:28,2022/05/25 14:48:28
Nuvigil,nuvigil,7</span> users found this comment helpful.,7-span-users-found-this-comment-helpful-,2022/05/25 14:48:28,2022/05/25 14:48:28
Bimatoprost,bimatoprost,Eyelash Hypotrichosis,eyelash-hypotrichosis,2022/05/25 14:48:28,2022/05/25 14:48:28
Flecainide,flecainide,Supraventricular Tachycardia,supraventricular-tachycardia,2022/05/25 14:48:28,2022/05/25 14:48:28
Hydroxyzine,hydroxyzine,Nausea/Vomiting,nausea-vomiting,2022/05/25 14:48:28,2022/05/25 14:48:28
SalivaMAX,salivamax,Xerostomia,xerostomia,2022/05/25 14:48:28,2022/05/25 14:48:28
Diazepam,diazepam,Meniere's Disease,meniere-s-disease,2022/05/25 14:48:28,2022/05/25 14:48:28
Indomethacin,indomethacin,Rheumatoid Arthritis,rheumatoid-arthritis,2022/05/25 14:48:28,2022/05/25 14:48:28
Naprosyn,naprosyn,Pain,pain,2022/05/25 14:48:28,2022/05/25 14:48:28
Natelle One,natelle-one,Vitamin/Mineral Supplementation during Pregnancy/Lactation,vitamin-mineral-supplementation-during-pregnancy-lactation,2022/05/25 14:48:28,2022/05/25 14:48:28
Lamisil,lamisil,Tinea Capitis,tinea-capitis,2022/05/25 14:48:28,2022/05/25 14:48:28
Flexeril,flexeril,Temporomandibular Joint Disorde,temporomandibular-joint-disorde,2022/05/25 14:48:28,2022/05/25 14:48:28
Cataflam,cataflam,Back Pain,back-pain,2022/05/25 14:48:28,2022/05/25 14:48:28
Cimetidine,cimetidine,Human Papilloma Virus,human-papilloma-virus,2022/05/25 14:48:28,2022/05/25 14:48:28
Nifedipine,nifedipine,Premature Lab,premature-lab,2022/05/25 14:48:28,2022/05/25 14:48:28
Adderall,adderall,21</span> users found this comment helpful.,21-span-users-found-this-comment-helpful-,2022/05/25 14:48:28,2022/05/25 14:48:28
Infliximab,infliximab,Crohn's Disease,crohn-s-disease,2022/05/25 14:48:28,2022/05/25 14:48:28
Tri-Sprintec,tri-sprintec,4</span> users found this comment helpful.,4-span-users-found-this-comment-helpful-,2022/05/25 14:48:28,2022/05/25 14:48:28
Blisovi Fe 1.5 / 30,blisovi-fe-1-5-30,Birth Control,birth-control,2022/05/25 14:48:28,2022/05/25 14:48:28
ProAmatine,proamatine,Dysautonomia,dysautonomia,2022/05/25 14:48:28,2022/05/25 14:48:28
Sodium oxybate,sodium-oxybate,ibromyalgia,ibromyalgia,2022/05/25 14:48:28,2022/05/25 14:48:28
Amantadine,amantadine,Extrapyramidal Reaction,extrapyramidal-reaction,2022/05/25 14:48:28,2022/05/25 14:48:28
Propranolol,propranolol,Mitral Valve Prolapse,mitral-valve-prolapse,2022/05/25 14:48:28,2022/05/25 14:48:28
Azilsartan medoxomil / chlorthalidone,azilsartan-medoxomil-chlorthalidone,High Blood Pressure,high-blood-pressure,2022/05/25 14:48:28,2022/05/25 14:48:28
Bioflavonoids,bioflavonoids,Osteoarthritis,osteoarthritis,2022/05/25 14:48:28,2022/05/25 14:48:28
Paromomycin,paromomycin,Giardiasis,giardiasis,2022/05/25 14:48:28,2022/05/25 14:48:28
Ranitidine,ranitidine,Indigestion,indigestion,2022/05/25 14:48:28,2022/05/25 14:48:28
Prednisone,prednisone,Allergic Rhinitis,allergic-rhinitis,2022/05/25 14:48:28,2022/05/25 14:48:28
Betamethasone,betamethasone,Lichen Sclerosus,lichen-sclerosus,2022/05/25 14:48:28,2022/05/25 14:48:28
Entacapone,entacapone,Parkinson's Disease,parkinson-s-disease,2022/05/25 14:48:28,2022/05/25 14:48:28
Saphris,saphris,Post Traumatic Stress Disorde,post-traumatic-stress-disorde,2022/05/25 14:48:28,2022/05/25 14:48:28
Altace,altace,High Blood Pressure,high-blood-pressure,2022/05/25 14:48:28,2022/05/25 14:48:28
Metformin / pioglitazone,metformin-pioglitazone,min / pioglitazone),min-pioglitazone-,2022/05/25 14:48:28,2022/05/25 14:48:28
Drixoral Cold and Allergy,drixoral-cold-and-allergy,3</span> users found this comment helpful.,3-span-users-found-this-comment-helpful-,2022/05/25 14:48:28,2022/05/25 14:48:28
Vivelle-Dot,vivelle-dot,Primary Ovarian Failure,primary-ovarian-failure,2022/05/25 14:48:28,2022/05/25 14:48:28
Estradiol Patch,estradiol-patch,Postmenopausal Symptoms,postmenopausal-symptoms,2022/05/25 14:48:28,2022/05/25 14:48:28
CamreseLo,camreselo,Birth Control,birth-control,2022/05/25 14:48:28,2022/05/25 14:48:28
Erythromycin,erythromycin,Dental Abscess,dental-abscess,2022/05/25 14:48:28,2022/05/25 14:48:28
Auranofin,auranofin,Rheumatoid Arthritis,rheumatoid-arthritis,2022/05/25 14:48:28,2022/05/25 14:48:28
Jolessa,jolessa,Abnormal Uterine Bleeding,abnormal-uterine-bleeding,2022/05/25 14:48:28,2022/05/25 14:48:28
Dulcolax Stool Softener,dulcolax-stool-softener,Constipation,constipation,2022/05/25 14:48:28,2022/05/25 14:48:28
Enalapril,enalapril,Left Ventricular Dysfunction,left-ventricular-dysfunction,2022/05/25 14:48:28,2022/05/25 14:48:28
Aspirin / carisoprodol / codeine,aspirin-carisoprodol-codeine,Pain,pain,2022/05/25 14:48:28,2022/05/25 14:48:28
NeutraSal,neutrasal,Xerostomia,xerostomia,2022/05/25 14:48:28,2022/05/25 14:48:28
Amoxicillin / clavulanate,amoxicillin-clavulanate,Urinary Tract Infection,urinary-tract-infection,2022/05/25 14:48:28,2022/05/25 14:48:28
Azathioprine,azathioprine,Renal Transplant,renal-transplant,2022/05/25 14:48:28,2022/05/25 14:48:28
Lansoprazole,lansoprazole,Helicobacter Pylori Infection,helicobacter-pylori-infection,2022/05/25 14:48:28,2022/05/25 14:48:28
Ketoconazole,ketoconazole,Seborrheic Dermatitis,seborrheic-dermatitis,2022/05/25 14:48:28,2022/05/25 14:48:28
Colcrys,colcrys,"Gout, Prophylaxis",gout-prophylaxis,2022/05/25 14:48:28,2022/05/25 14:48:28
Lanacane,lanacane,Pruritus,pruritus,2022/05/25 14:48:28,2022/05/25 14:48:28
Duoplant,duoplant,Dermatological Disorders,dermatological-disorders,2022/05/25 14:48:28,2022/05/25 14:48:28
Stimate,stimate,von Willebrand's Disease,von-willebrand-s-disease,2022/05/25 14:48:28,2022/05/25 14:48:28
Levothyroxine,levothyroxine,Not Listed / Othe,not-listed-othe,2022/05/25 14:48:28,2022/05/25 14:48:28
Jolessa,jolessa,3</span> users found this comment helpful.,3-span-users-found-this-comment-helpful-,2022/05/25 14:48:28,2022/05/25 14:48:28
Venlafaxine,venlafaxine,Postpartum Depression,postpartum-depression,2022/05/25 14:48:28,2022/05/25 14:48:28
Brilinta,brilinta,Prevention of Atherothrombotic Events,prevention-of-atherothrombotic-events,2022/05/25 14:48:28,2022/05/25 14:48:28
Lactulose,lactulose,"Constipation, Chronic",constipation-chronic,2022/05/25 14:48:28,2022/05/25 14:48:28
Nadolol,nadolol,Benign Essential Trem,benign-essential-trem,2022/05/25 14:48:28,2022/05/25 14:48:28
Esomeprazole,esomeprazole,Not Listed / Othe,not-listed-othe,2022/05/25 14:48:28,2022/05/25 14:48:28
Aspirin / oxycodone,aspirin-oxycodone,Pain,pain,2022/05/25 14:48:28,2022/05/25 14:48:28
Balziva,balziva,Birth Control,birth-control,2022/05/25 14:48:28,2022/05/25 14:48:28
Azithromycin Dose Pack,azithromycin-dose-pack,Bronchitis,bronchitis,2022/05/25 14:48:28,2022/05/25 14:48:28
Darbepoetin alfa,darbepoetin-alfa,Anemia Associated with Chronic Renal Failure,anemia-associated-with-chronic-renal-failure,2022/05/25 14:48:28,2022/05/25 14:48:28
Allegra Allergy,allegra-allergy,Allergic Rhinitis,allergic-rhinitis,2022/05/25 14:48:28,2022/05/25 14:48:28
Zinc oxide,zinc-oxide,Diaper Rash,diaper-rash,2022/05/25 14:48:28,2022/05/25 14:48:28
Loestrin 24 Fe,loestrin-24-fe,6</span> users found this comment helpful.,6-span-users-found-this-comment-helpful-,2022/05/25 14:48:28,2022/05/25 14:48:28
Breo Ellipta,breo-ellipta,"COPD, Maintenance",copd-maintenance,2022/05/25 14:48:28,2022/05/25 14:48:28
Colchicine,colchicine,"Gout, Prophylaxis",gout-prophylaxis,2022/05/25 14:48:28,2022/05/25 14:48:28
Hizentra,hizentra,Primary Immunodeficiency Syndrome,primary-immunodeficiency-syndrome,2022/05/25 14:48:28,2022/05/25 14:48:28
Simvastatin,simvastatin,"Hyperlipoproteinemia Type IIa, Elevated LDL",hyperlipoproteinemia-type-iia-elevated-ldl,2022/05/25 14:48:28,2022/05/25 14:48:28
Ranitidine,ranitidine,Stomach Ulce,stomach-ulce,2022/05/25 14:48:28,2022/05/25 14:48:28
Gabapentin,gabapentin,Small Fiber Neuropathy,small-fiber-neuropathy,2022/05/25 14:48:28,2022/05/25 14:48:28
Propranolol,propranolol,Not Listed / Othe,not-listed-othe,2022/05/25 14:48:28,2022/05/25 14:48:28
Tolmetin,tolmetin,"Gout, Acute",gout-acute,2022/05/25 14:48:28,2022/05/25 14:48:28
Atenolol,atenolol,Mitral Valve Prolapse,mitral-valve-prolapse,2022/05/25 14:48:28,2022/05/25 14:48:28
Fiorinal,fiorinal,Headache,headache,2022/05/25 14:48:28,2022/05/25 14:48:28
Adalimumab,adalimumab,"Crohn's Disease, Acute",crohn-s-disease-acute,2022/05/25 14:48:28,2022/05/25 14:48:28
Carvedilol,carvedilol,Angina,angina,2022/05/25 14:48:28,2022/05/25 14:48:28
Restoril,restoril,6</span> users found this comment helpful.,6-span-users-found-this-comment-helpful-,2022/05/25 14:48:28,2022/05/25 14:48:28
Chlophedianol / guaifenesin / pseudoephedrine,chlophedianol-guaifenesin-pseudoephedrine,Cough and Nasal Congestion,cough-and-nasal-congestion,2022/05/25 14:48:28,2022/05/25 14:48:28
CellCept,cellcept,Rheumatoid Arthritis,rheumatoid-arthritis,2022/05/25 14:48:28,2022/05/25 14:48:28
Acyclovir,acyclovir,"Herpes Simplex, Suppression",herpes-simplex-suppression,2022/05/25 14:48:28,2022/05/25 14:48:28
Nexium,nexium,5</span> users found this comment helpful.,5-span-users-found-this-comment-helpful-,2022/05/25 14:48:28,2022/05/25 14:48:28
Celebrex,celebrex,Rheumatoid Arthritis,rheumatoid-arthritis,2022/05/25 14:48:28,2022/05/25 14:48:28
Sine-Off Maximum Strength,sine-off-maximum-strength,Sinus Symptoms,sinus-symptoms,2022/05/25 14:48:28,2022/05/25 14:48:28
Cyproheptadine,cyproheptadine,Not Listed / Othe,not-listed-othe,2022/05/25 14:48:28,2022/05/25 14:48:28
Halcion,halcion,12</span> users found this comment helpful.,12-span-users-found-this-comment-helpful-,2022/05/25 14:48:28,2022/05/25 14:48:28
Darifenacin,darifenacin,Urinary Incontinence,urinary-incontinence,2022/05/25 14:48:28,2022/05/25 14:48:28
Xanax XR,xanax-xr,Tinnitus,tinnitus,2022/05/25 14:48:28,2022/05/25 14:48:28
Cimetidine,cimetidine,Stomach Ulce,stomach-ulce,2022/05/25 14:48:28,2022/05/25 14:48:28
Questran,questran,Irritable Bowel Syndrome,irritable-bowel-syndrome,2022/05/25 14:48:28,2022/05/25 14:48:28
Imiquimod,imiquimod,Condylomata Acuminata,condylomata-acuminata,2022/05/25 14:48:28,2022/05/25 14:48:28
Dasabuvir / ombitasvir / paritaprevir / ritonavir,dasabuvir-ombitasvir-paritaprevir-ritonavir,Hepatitis C,hepatitis-c,2022/05/25 14:48:28,2022/05/25 14:48:28
Fluoxetine,fluoxetine,Persistent Depressive Disorde,persistent-depressive-disorde,2022/05/25 14:48:28,2022/05/25 14:48:28
Bevacizumab,bevacizumab,Macular Degeneration,macular-degeneration,2022/05/25 14:48:28,2022/05/25 14:48:28
Capecitabine,capecitabine,Colorectal Cance,colorectal-cance,2022/05/25 14:48:28,2022/05/25 14:48:28
Paroxetine,paroxetine,Postmenopausal Symptoms,postmenopausal-symptoms,2022/05/25 14:48:28,2022/05/25 14:48:28
Hydroxyurea,hydroxyurea,Not Listed / Othe,not-listed-othe,2022/05/25 14:48:28,2022/05/25 14:48:28
Novolin 70 / 30,novolin-70-30,"Diabetes, Type 2",diabetes-type-2,2022/05/25 14:48:28,2022/05/25 14:48:28
Lutera,lutera,Polycystic Ovary Syndrome,polycystic-ovary-syndrome,2022/05/25 14:48:28,2022/05/25 14:48:28
Fluconazole,fluconazole,Oral Thrush,oral-thrush,2022/05/25 14:48:28,2022/05/25 14:48:28
Plavix,plavix,110</span> users found this comment helpful.,110-span-users-found-this-comment-helpful-,2022/05/25 14:48:28,2022/05/25 14:48:28
Septra,septra,Bacterial Infection,bacterial-infection,2022/05/25 14:48:28,2022/05/25 14:48:28
Capecitabine,capecitabine,Breast Cance,breast-cance,2022/05/25 14:48:28,2022/05/25 14:48:28
MoviPrep,moviprep,6</span> users found this comment helpful.,6-span-users-found-this-comment-helpful-,2022/05/25 14:48:28,2022/05/25 14:48:28
Pembrolizumab,pembrolizumab,Head and Neck Cance,head-and-neck-cance,2022/05/25 14:48:28,2022/05/25 14:48:28
GaviLyte-G,gavilyte-g,Bowel Preparation,bowel-preparation,2022/05/25 14:48:28,2022/05/25 14:48:28
Thyroid desiccated,thyroid-desiccated,"Hypothyroidism, After Thyroid Removal",hypothyroidism-after-thyroid-removal,2022/05/25 14:48:28,2022/05/25 14:48:28
Rabeprazole,rabeprazole,Stomach Ulce,stomach-ulce,2022/05/25 14:48:28,2022/05/25 14:48:28
Risperdal Consta,risperdal-consta,Schizophrenia,schizophrenia,2022/05/25 14:48:28,2022/05/25 14:48:28
Nimotop,nimotop,Ischemic Stroke,ischemic-stroke,2022/05/25 14:48:28,2022/05/25 14:48:28
Dymista,dymista,6</span> users found this comment helpful.,6-span-users-found-this-comment-helpful-,2022/05/25 14:48:28,2022/05/25 14:48:28
Trolamine salicylate,trolamine-salicylate,Osteoarthritis,osteoarthritis,2022/05/25 14:48:28,2022/05/25 14:48:28
Metformin / rosiglitazone,metformin-rosiglitazone,min / rosiglitazone),min-rosiglitazone-,2022/05/25 14:48:28,2022/05/25 14:48:28
Cortenema,cortenema,Ulcerative Proctitis,ulcerative-proctitis,2022/05/25 14:48:28,2022/05/25 14:48:28
Aciphex,aciphex,GERD,gerd,2022/05/25 14:48:28,2022/05/25 14:48:28
Onexton,onexton,Acne,acne,2022/05/25 14:48:28,2022/05/25 14:48:28
Lactobacillus acidophilus,lactobacillus-acidophilus,Vaginal Yeast Infection,vaginal-yeast-infection,2022/05/25 14:48:28,2022/05/25 14:48:28
Aerobid-M,aerobid-m,1</span> users found this comment helpful.,1-span-users-found-this-comment-helpful-,2022/05/25 14:48:28,2022/05/25 14:48:28
Desogestrel / ethinyl estradiol,desogestrel-ethinyl-estradiol,Abnormal Uterine Bleeding,abnormal-uterine-bleeding,2022/05/25 14:48:28,2022/05/25 14:48:28
Blephamide,blephamide,7</span> users found this comment helpful.,7-span-users-found-this-comment-helpful-,2022/05/25 14:48:28,2022/05/25 14:48:28
Collagenase clostridium histolyticum,collagenase-clostridium-histolyticum,Peyronie's Disease,peyronie-s-disease,2022/05/25 14:48:28,2022/05/25 14:48:28
CellCept,cellcept,Autoimmune Hepatitis,autoimmune-hepatitis,2022/05/25 14:48:28,2022/05/25 14:48:28
Nizoral A-D,nizoral-a-d,Dandruff,dandruff,2022/05/25 14:48:28,2022/05/25 14:48:28
Vimovo,vimovo,14</span> users found this comment helpful.,14-span-users-found-this-comment-helpful-,2022/05/25 14:48:28,2022/05/25 14:48:28
Imatinib,imatinib,Acute Lymphoblastic Leukemia,acute-lymphoblastic-leukemia,2022/05/25 14:48:28,2022/05/25 14:48:28
Goody's Extra-Strength Headache Powders,goody-s-extra-strength-headache-powders,Pain/Feve,pain-feve,2022/05/25 14:48:28,2022/05/25 14:48:28
Trazodone,trazodone,Reflex Sympathetic Dystrophy Syndrome,reflex-sympathetic-dystrophy-syndrome,2022/05/25 14:48:28,2022/05/25 14:48:28
Prednisone,prednisone,"Conjunctivitis, Allergic",conjunctivitis-allergic,2022/05/25 14:48:28,2022/05/25 14:48:28
Cosentyx,cosentyx,Psoriatic Arthritis,psoriatic-arthritis,2022/05/25 14:48:28,2022/05/25 14:48:28
Urea,urea,Dermatological Disorders,dermatological-disorders,2022/05/25 14:48:28,2022/05/25 14:48:28
Advair HFA,advair-hfa,"Asthma, Maintenance",asthma-maintenance,2022/05/25 14:48:28,2022/05/25 14:48:28
Stelazine,stelazine,Schizophrenia,schizophrenia,2022/05/25 14:48:28,2022/05/25 14:48:28
Sensipar,sensipar,Secondary Hyperparathyroidism,secondary-hyperparathyroidism,2022/05/25 14:48:28,2022/05/25 14:48:28
Ortho Micronor,ortho-micronor,Abnormal Uterine Bleeding,abnormal-uterine-bleeding,2022/05/25 14:48:28,2022/05/25 14:48:28
Clarithromycin,clarithromycin,llicular Lymphoma,llicular-lymphoma,2022/05/25 14:48:28,2022/05/25 14:48:28
Edluar,edluar,Insomnia,insomnia,2022/05/25 14:48:28,2022/05/25 14:48:28
Feldene,feldene,Osteoarthritis,osteoarthritis,2022/05/25 14:48:28,2022/05/25 14:48:28
Amitriptyline,amitriptyline,Chronic Myofascial Pain,chronic-myofascial-pain,2022/05/25 14:48:28,2022/05/25 14:48:28
Citalopram,citalopram,Post Traumatic Stress Disorde,post-traumatic-stress-disorde,2022/05/25 14:48:28,2022/05/25 14:48:28
Dexmethylphenidate,dexmethylphenidate,Auditory Processing Disorde,auditory-processing-disorde,2022/05/25 14:48:28,2022/05/25 14:48:28
Zostavax,zostavax,"Herpes Zoster, Prophylaxis",herpes-zoster-prophylaxis,2022/05/25 14:48:28,2022/05/25 14:48:28
Kybella,kybella,Submental Fullness,submental-fullness,2022/05/25 14:48:28,2022/05/25 14:48:28
Benzocaine,benzocaine,Pain,pain,2022/05/25 14:48:28,2022/05/25 14:48:28
Hydroxyurea,hydroxyurea,Thrombocythemia,thrombocythemia,2022/05/25 14:48:28,2022/05/25 14:48:28
Serax,serax,Alcohol Withdrawal,alcohol-withdrawal,2022/05/25 14:48:28,2022/05/25 14:48:28
Femcon Fe,femcon-fe,Endometriosis,endometriosis,2022/05/25 14:48:28,2022/05/25 14:48:28
Microgestin Fe 1.5 / 30,microgestin-fe-1-5-30,Menstrual Disorders,menstrual-disorders,2022/05/25 14:48:28,2022/05/25 14:48:28
Viread,viread,Hepatitis B,hepatitis-b,2022/05/25 14:48:28,2022/05/25 14:48:28
Neurontin,neurontin,Alcohol Withdrawal,alcohol-withdrawal,2022/05/25 14:48:28,2022/05/25 14:48:28
Prevacid,prevacid,Stomach Ulce,stomach-ulce,2022/05/25 14:48:28,2022/05/25 14:48:28
Zymar,zymar,Conjunctivitis,conjunctivitis,2022/05/25 14:48:28,2022/05/25 14:48:28
Coricidin HBP Cold & Flu,coricidin-hbp-cold-flu,Cold Symptoms,cold-symptoms,2022/05/25 14:48:28,2022/05/25 14:48:28
Ultram,ultram,Chronic Pain,chronic-pain,2022/05/25 14:48:28,2022/05/25 14:48:28
Reglan,reglan,Lactation Augmentation,lactation-augmentation,2022/05/25 14:48:28,2022/05/25 14:48:28
Quinapril,quinapril,High Blood Pressure,high-blood-pressure,2022/05/25 14:48:28,2022/05/25 14:48:28
Acetaminophen / caffeine,acetaminophen-caffeine,Headache,headache,2022/05/25 14:48:28,2022/05/25 14:48:28
Benadryl,benadryl,Allergic Rhinitis,allergic-rhinitis,2022/05/25 14:48:28,2022/05/25 14:48:28
Regadenoson,regadenoson,Radionuclide Myocardial Perfusion Study,radionuclide-myocardial-perfusion-study,2022/05/25 14:48:28,2022/05/25 14:48:28
Talwin Nx,talwin-nx,Pain,pain,2022/05/25 14:48:28,2022/05/25 14:48:28
Dextroamphetamine,dextroamphetamine,"Sexual Dysfunction, SSRI Induced",sexual-dysfunction-ssri-induced,2022/05/25 14:48:28,2022/05/25 14:48:28
Cetuximab,cetuximab,Head and Neck Cance,head-and-neck-cance,2022/05/25 14:48:28,2022/05/25 14:48:28
Acetaminophen / butalbital / caffeine,acetaminophen-butalbital-caffeine,Not Listed / Othe,not-listed-othe,2022/05/25 14:48:28,2022/05/25 14:48:28
Chloraseptic Sore Throat Spray,chloraseptic-sore-throat-spray,Sore Throat,sore-throat,2022/05/25 14:48:28,2022/05/25 14:48:28
Rosuvastatin,rosuvastatin,Prevention of Cardiovascular Disease,prevention-of-cardiovascular-disease,2022/05/25 14:48:28,2022/05/25 14:48:28
Ibuprofen,ibuprofen,Muscle Pain,muscle-pain,2022/05/25 14:48:28,2022/05/25 14:48:28
Vanspar,vanspar,Anxiety,anxiety,2022/05/25 14:48:28,2022/05/25 14:48:28
Flexeril,flexeril,15</span> users found this comment helpful.,15-span-users-found-this-comment-helpful-,2022/05/25 14:48:28,2022/05/25 14:48:28
Griseofulvin,griseofulvin,Tinea Cruris,tinea-cruris,2022/05/25 14:48:28,2022/05/25 14:48:28
ProAir HFA,proair-hfa,"Asthma, acute",asthma-acute,2022/05/25 14:48:28,2022/05/25 14:48:28
Megestrol,megestrol,Endometrial Cance,endometrial-cance,2022/05/25 14:48:28,2022/05/25 14:48:28
Efavirenz,efavirenz,HIV Infection,hiv-infection,2022/05/25 14:48:28,2022/05/25 14:48:28
Soriatane,soriatane,Psoriasis,psoriasis,2022/05/25 14:48:28,2022/05/25 14:48:28
Amrix,amrix,ibromyalgia,ibromyalgia,2022/05/25 14:48:28,2022/05/25 14:48:28
Mirena,mirena,5</span> users found this comment helpful.,5-span-users-found-this-comment-helpful-,2022/05/25 14:48:28,2022/05/25 14:48:28
Femring,femring,Atrophic Vaginitis,atrophic-vaginitis,2022/05/25 14:48:28,2022/05/25 14:48:28
Simponi Aria,simponi-aria,Rheumatoid Arthritis,rheumatoid-arthritis,2022/05/25 14:48:28,2022/05/25 14:48:28
Effexor XR,effexor-xr,ibromyalgia,ibromyalgia,2022/05/25 14:48:28,2022/05/25 14:48:28
OsmoPrep,osmoprep,19</span> users found this comment helpful.,19-span-users-found-this-comment-helpful-,2022/05/25 14:48:28,2022/05/25 14:48:28
Mononessa,mononessa,Endometriosis,endometriosis,2022/05/25 14:48:28,2022/05/25 14:48:28
Duloxetine,duloxetine,Not Listed / Othe,not-listed-othe,2022/05/25 14:48:28,2022/05/25 14:48:28
Provigil,provigil,Multiple Sclerosis,multiple-sclerosis,2022/05/25 14:48:28,2022/05/25 14:48:28
Jentadueto,jentadueto,"Diabetes, Type 2",diabetes-type-2,2022/05/25 14:48:28,2022/05/25 14:48:28
Pregabalin,pregabalin,Peripheral Neuropathy,peripheral-neuropathy,2022/05/25 14:48:28,2022/05/25 14:48:28
Enskyce,enskyce,Birth Control,birth-control,2022/05/25 14:48:28,2022/05/25 14:48:28
Sinemet CR,sinemet-cr,Parkinson's Disease,parkinson-s-disease,2022/05/25 14:48:28,2022/05/25 14:48:28
Pancrelipase,pancrelipase,Chronic Pancreatitis,chronic-pancreatitis,2022/05/25 14:48:28,2022/05/25 14:48:28
Prinivil,prinivil,High Blood Pressure,high-blood-pressure,2022/05/25 14:48:28,2022/05/25 14:48:28
Benicar,benicar,Migraine Prevention,migraine-prevention,2022/05/25 14:48:28,2022/05/25 14:48:28
Everolimus,everolimus,Renal Cell Carcinoma,renal-cell-carcinoma,2022/05/25 14:48:28,2022/05/25 14:48:28
Conjugated estrogens,conjugated-estrogens,Atrophic Vaginitis,atrophic-vaginitis,2022/05/25 14:48:28,2022/05/25 14:48:28
Welchol,welchol,"Diabetes, Type 2",diabetes-type-2,2022/05/25 14:48:28,2022/05/25 14:48:28
Marlissa,marlissa,Birth Control,birth-control,2022/05/25 14:48:28,2022/05/25 14:48:28
Fluzone,fluzone,Influenza Prophylaxis,influenza-prophylaxis,2022/05/25 14:48:28,2022/05/25 14:48:28
Valtrex,valtrex,Varicella-Zoste,varicella-zoste,2022/05/25 14:48:28,2022/05/25 14:48:28
Klonopin,klonopin,4</span> users found this comment helpful.,4-span-users-found-this-comment-helpful-,2022/05/25 14:48:28,2022/05/25 14:48:28
Klonopin Wafer,klonopin-wafer,Anxiety,anxiety,2022/05/25 14:48:28,2022/05/25 14:48:28
Omnicef,omnicef,Sinusitis,sinusitis,2022/05/25 14:48:28,2022/05/25 14:48:28
Calan,calan,Migraine Prevention,migraine-prevention,2022/05/25 14:48:28,2022/05/25 14:48:28
Ciclopirox,ciclopirox,"Onychomycosis, Toenail",onychomycosis-toenail,2022/05/25 14:48:28,2022/05/25 14:48:28
Alemtuzumab,alemtuzumab,Multiple Sclerosis,multiple-sclerosis,2022/05/25 14:48:28,2022/05/25 14:48:28
Yasmin,yasmin,Premenstrual Dysphoric Disorde,premenstrual-dysphoric-disorde,2022/05/25 14:48:28,2022/05/25 14:48:28
Hydroquinone,hydroquinone,Dermatological Disorders,dermatological-disorders,2022/05/25 14:48:28,2022/05/25 14:48:28
Afrin Sinus,afrin-sinus,Nasal Congestion,nasal-congestion,2022/05/25 14:48:28,2022/05/25 14:48:28
Cleocin,cleocin,Bacterial Infection,bacterial-infection,2022/05/25 14:48:28,2022/05/25 14:48:28
Aluminum hydroxide / magnesium hydroxide / simethicone,aluminum-hydroxide-magnesium-hydroxide-simethicone,GERD,gerd,2022/05/25 14:48:28,2022/05/25 14:48:28
Isosorbide mononitrate,isosorbide-mononitrate,Angina Pectoris Prophylaxis,angina-pectoris-prophylaxis,2022/05/25 14:48:28,2022/05/25 14:48:28
Royal jelly,royal-jelly,Herbal Supplementation,herbal-supplementation,2022/05/25 14:48:28,2022/05/25 14:48:28
